Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,Continent
Acura,Gasoline,4,35,25,Asia
Acura,Gasoline,6,28,21,Asia
Alfa Romeo,Gasoline,4,33,24,Europe
Alfa Romeo,Gasoline,6,24,17,Europe
Aston Martin,Gasoline,12,19,12,Europe
Audi,Gasoline,4,30,23,Europe
Audi,Gasoline,6,27,19,Europe
Audi,Gasoline,8,26,17,Europe
Audi,Gasoline,10,22,14,Europe
Audi,Gasoline,4,32,24,Europe
Bentley,Gasoline,8,22,13,Europe
Bentley,Gasoline,12,20,12,Europe
BMW,Diesel,4,41,30,Europe
BMW,Diesel,6,29,23,Europe
BMW,Electricity,0,109,133,Europe
BMW,Gasoline,2,33,36,Europe
BMW,Gasoline,3,29,28,Europe
BMW,Gasoline,4,32,23,Europe
BMW,Gasoline,6,28,19,Europe
BMW,Gasoline,8,23,15,Europe
BMW,Gasoline,12,20,13,Europe
Buick,Gasoline,4,27,20,NorthAmerica
Buick,Gasoline,4,31,23,NorthAmerica
Buick,Gasoline,6,26,18,NorthAmerica
Cadillac,Gasoline,4,30,22,NorthAmerica
Cadillac,Gasoline,6,25,17,NorthAmerica
Cadillac,Gasoline,8,21,14,NorthAmerica
Cadillac,Gasoline,4,32,22,NorthAmerica
Cadillac,Gasoline,6,26,18,NorthAmerica
Cadillac,Gasoline,8,21,15,NorthAmerica
Chevrolet,Diesel,4,29,21,NorthAmerica
Chevrolet,Electricity,0,110,128,NorthAmerica
Chevrolet,Gasoline,4,31,21,NorthAmerica
Chevrolet,Gasoline,8,23,15,NorthAmerica
Chevrolet,Gasoline,4,34,27,NorthAmerica
Chevrolet,Gasoline,6,24,17,NorthAmerica
Chevrolet,Gasoline,8,21,15,NorthAmerica
Chrysler,Gasoline,8,25,16,NorthAmerica
Chrysler,Gasoline,4,36,23,NorthAmerica
Chrysler,Gasoline,6,29,20,NorthAmerica
Dodge,Gasoline,8,24,15,NorthAmerica
Dodge,Gasoline,8,23,14,NorthAmerica
Dodge,Gasoline,10,19,12,NorthAmerica
Dodge,Gasoline,4,25,19,NorthAmerica
Dodge,Gasoline,6,27,18,NorthAmerica
Ferrari,Gasoline,8,22,16,Europe
Ferrari,Gasoline,12,16,12,Europe
Fiat,Electricity,0,103,121,Europe
Fiat,Gasoline,4,34,26,Europe
Fiat,Gasoline,4,30,22,Europe
Ford,Electricity,0,96,118,NorthAmerica
Ford,Gasoline,4,25,19,NorthAmerica
Ford,Gasoline,6,18,11,NorthAmerica
Ford,Gasoline,8,21,14,NorthAmerica
Ford,Gasoline,3,40,29,NorthAmerica
Ford,Gasoline,4,31,24,NorthAmerica
Ford,Gasoline,6,23,17,NorthAmerica
Ford,Gasoline,8,22,15,NorthAmerica
Genesis,Gasoline,6,24,17,Asia
Genesis,Gasoline,8,23,15,Asia
Genesis,Gasoline,6,27,17,Asia
GMC,Diesel,4,29,21,NorthAmerica
GMC,Gasoline,4,27,20,NorthAmerica
GMC,Gasoline,6,23,17,NorthAmerica
GMC,Gasoline,8,21,15,NorthAmerica
Honda,Gasoline,4,38,30,Asia
Honda,Gasoline,4,37,29,Asia
Honda,Gasoline,6,28,19,Asia
Hyundai,Electricity,0,122,150,Asia
Hyundai,Gasoline,4,34,27,Asia
Hyundai,Gasoline,6,25,18,Asia
Infiniti,Gasoline,4,30,22,Asia
Infiniti,Gasoline,6,27,20,Asia
Infiniti,Gasoline,8,22,15,Asia
Infiniti,Gasoline,4,27,25,Asia
Jaguar,Diesel,4,39,30,Europe
Jaguar,Gasoline,4,30,21,Europe
Jaguar,Gasoline,6,26,18,Europe
Jaguar,Gasoline,8,23,15,Europe
